t (s),V (mV)
0,13.4475
1.05,13.3815
2.1,13.3672
3.151,13.3581
4.159,13.3274
5.16,13.2955
6.16,13.242
7.159,13.2151
8.159,13.1834
9.16,13.1568
10.159,13.1432
11.159,13.148
12.16,13.1532
13.159,13.0823
14.159,13.058
15.16,13.0648
16.159,13.0178
17.159,12.9892
18.16,12.9562
19.159,12.9243
20.16,12.9168
21.159,12.8745
22.16,12.8575
23.159,12.7923
24.159,12.785
25.16,12.7629
26.162,12.7232
27.16,12.7107
28.159,12.6223
29.159,12.5898
30.16,12.5861
31.159,12.5598
32.16,12.557
33.159,12.5278
34.16,12.4918
35.159,12.4903
36.16,12.4575
37.159,12.4299
38.159,12.4036
39.159,12.3666
40.159,12.3222
41.159,12.3283
42.16,12.3004
43.159,12.2584
44.16,12.2036
45.159,12.1836
46.16,12.1806
47.159,12.1796
48.159,12.1384
49.159,12.1079
50.16,12.0978
51.159,12.0706
52.16,12.0398
53.159,12.0136
54.159,11.9939
55.159,11.9697
56.162,11.9208
57.159,11.903
58.159,11.8874
59.16,11.8626
60.159,11.8376
61.159,11.797
62.16,11.7924
63.159,11.7543
64.159,11.7194
65.159,11.691
66.16,11.664
67.159,11.6435
68.162,11.627
69.159,11.5828
70.16,11.5508
71.159,11.5593
72.159,11.5001
73.16,11.5089
74.159,11.4831
75.159,11.452
76.159,11.4299
77.16,11.384
78.159,11.375
79.159,11.3452
80.16,11.3037
81.159,11.2642
82.16,11.235
83.159,11.2165
84.16,11.189
85.159,11.1468
86.16,11.1433
87.159,11.1048
88.159,11.068
89.16,11.0589
90.16,11.0216
91.16,11.0114
92.159,11.0199
93.16,10.9781
94.159,10.9612
95.159,10.9353
96.16,10.9058
97.16,10.857
98.159,10.8441
99.159,10.812
100.16,10.8018
101.159,10.7435
102.16,10.7676
103.16,10.7554
104.159,10.7148
105.159,10.7076
106.16,10.6568
107.159,10.6233
108.16,10.6256
109.158,10.587
110.161,10.5578
111.158,10.5406
112.158,10.5193
113.158,10.5073
114.159,10.4413
115.158,10.4415
116.158,10.4338
117.159,10.3763
118.158,10.3443
119.158,10.3429
120.158,10.3469
121.159,10.3148
122.158,10.3139
123.158,10.3027
124.158,10.2631
125.158,10.2523
126.158,10.2272
127.158,10.2079
128.159,10.1437
129.159,10.1457
130.158,10.1305
131.159,10.1115
132.158,10.0988
133.159,10.076
134.158,10.0635
135.158,10.0208
136.158,10.0132
137.159,9.9922
138.16,9.9798
139.159,9.9784
140.159,9.9622
141.16,9.9055
142.159,9.8718
143.159,9.8438
144.16,9.8386
145.159,9.8314
146.162,9.8332
147.159,9.7841
148.159,9.7845
149.159,9.7501
150.16,9.7337
151.177,9.7108
152.16,9.6931
153.159,9.6664
154.16,9.6438
155.159,9.6179
156.159,9.5939
157.16,9.5859
158.159,9.5521
159.159,9.5418
160.16,9.5352
161.159,9.5115
162.176,9.4903
163.159,9.4307
164.166,9.4393
165.159,9.3942
166.16,9.3602
167.159,9.3736
168.16,9.3588
169.159,9.3343
170.159,9.349
171.16,9.2755
172.159,9.2771
173.16,9.2556
174.159,9.2427
175.16,9.2399
176.162,9.1886
177.159,9.1992
178.16,9.1392
179.16,9.1178
180.159,9.1041
181.16,9.1223
182.16,9.0966
183.159,9.0617
184.159,9.0584
185.159,9.0316
186.159,9.0329
187.16,9.0044
188.16,8.9759
189.16,8.9666
190.16,8.9557
191.16,8.9272
192.16,8.8997
193.159,8.9025
194.159,8.8806
195.16,8.8697
196.159,8.8364
197.159,8.8167
198.159,8.7934
199.16,8.7806
200.162,8.7608
201.159,8.7312
202.159,8.7283
203.16,8.7183
204.16,8.6984
205.159,8.668
206.162,8.668
207.159,8.6567
208.16,8.6285
209.16,8.6021
210.159,8.5923
211.159,8.5504
212.162,8.5621
213.159,8.5538
214.16,8.5288
215.159,8.4969
216.159,8.4788
217.16,8.4505
218.159,8.4419
219.16,8.4362
220.159,8.404
221.161,8.3817
222.159,8.3571
223.16,8.3536
224.16,8.3683
225.159,8.3116
226.16,8.2946
227.159,8.2688
228.16,8.2483
229.159,8.22
230.163,8.2003
231.16,8.1864
232.159,8.1809
233.16,8.1567
234.16,8.149
235.159,8.157
236.16,8.1312
237.16,8.1053
238.16,8.0903
239.159,8.084
240.159,8.0874
241.159,8.0412
242.159,8.0379
243.16,8.0156
244.159,7.9693
245.16,7.9907
246.159,7.9907
247.159,7.9578
248.16,7.9718
249.16,7.9177
250.159,7.9034
251.16,7.8939
252.159,7.8565
253.16,7.8542
254.159,7.814
255.16,7.809
256.159,7.8209
257.16,7.7677
258.16,7.778
259.159,7.7642
260.162,7.7417
261.159,7.7124
262.159,7.6999
263.16,7.6628
264.159,7.6407
265.159,7.6515
266.16,7.6461
267.16,7.6312
268.159,7.6073
269.159,7.6006
270.16,7.5802
271.159,7.5446
272.159,7.5394
273.159,7.5289
274.16,7.5257
275.159,7.4972
276.159,7.4799
277.16,7.4645
278.159,7.4512
279.159,7.4235
280.16,7.3668
281.159,7.3598
282.159,7.3318
283.159,7.3009
284.159,7.3364
285.16,7.3157
286.159,7.3309
287.16,7.3108
288.159,7.3069
289.16,7.273
290.162,7.2454
291.159,7.2364
292.159,7.2443
293.159,7.231
294.159,7.2129
295.16,7.1964
296.159,7.1895
297.16,7.173
298.159,7.1436
299.159,7.1408
300.16,7.1262
301.159,7.0951
302.159,7.1117
303.159,7.1037
304.16,7.1037
305.159,7.0341
306.16,7.0019
307.159,6.9876
308.159,7.0036
309.159,6.9544
310.159,6.9215
311.159,6.9721
312.159,6.9552
313.16,6.9387
314.159,6.9403
315.159,6.9021
316.16,6.8939
317.159,6.9054
318.159,6.8689
319.159,6.8399
320.162,6.8167
321.159,6.8136
322.159,6.7955
323.16,6.7916
324.16,6.7582
325.159,6.7362
326.159,6.7122
327.159,6.7053
328.16,6.7007
329.159,6.6896
330.159,6.6608
331.16,6.651
332.164,6.6522
333.159,6.6212
334.16,6.6068
335.16,6.6147
336.159,6.5831
337.159,6.577
338.16,6.5685
339.16,6.5344
340.159,6.5403
341.159,6.5201
342.159,6.5113
343.16,6.4883
344.163,6.4827
