t (s),V (mV)
0,17.8978
0.969,17.7986
1.901,17.7303
2.863,17.6497
3.825,17.5524
4.815,17.5189
5.815,17.3882
6.818,17.3366
7.814,17.2607
8.815,17.2098
9.815,17.1339
10.814,17.0685
11.814,16.9806
12.818,16.9128
13.815,16.8521
14.814,16.7669
15.815,16.7086
16.814,16.6425
17.814,16.5239
18.814,16.474
19.815,16.4314
20.815,16.3442
21.814,16.2634
22.814,16.1904
23.814,16.1307
24.817,16.0272
25.814,15.9418
26.815,15.9344
27.814,15.8801
28.814,15.8172
29.814,15.7667
30.817,15.6776
31.815,15.596
32.814,15.5151
33.815,15.4752
34.814,15.4017
35.815,15.3165
36.814,15.2695
37.815,15.1915
38.815,15.1237
39.815,15.08
40.815,14.9938
41.814,14.9359
42.815,14.8688
43.814,14.8183
44.814,14.7641
45.815,14.7012
46.815,14.635
47.814,14.5949
48.817,14.5413
49.814,14.464
50.814,14.398
51.814,14.3641
52.815,14.3023
53.814,14.2401
54.815,14.1997
55.814,14.1258
56.815,14.0652
57.814,13.9895
58.815,13.9345
59.814,13.883
60.814,13.8175
61.814,13.7637
62.815,13.699
63.814,13.6092
64.815,13.5412
65.814,13.4628
66.815,13.4159
67.814,13.3752
68.814,13.3182
69.815,13.2618
70.815,13.198
71.815,13.1374
72.817,13.0855
73.815,13.0662
74.815,12.9871
75.814,12.9346
76.814,12.9094
77.814,12.8426
78.814,12.7768
79.814,12.7034
80.814,12.6632
81.815,12.6278
82.815,12.5789
83.814,12.5256
84.814,12.4766
85.815,12.4066
86.814,12.3664
87.815,12.3282
88.817,12.2668
89.814,12.2037
90.814,12.1583
91.815,12.1069
92.815,12.0417
93.814,11.9748
94.815,11.9221
95.814,11.8512
96.815,11.8216
97.814,11.7663
98.815,11.7112
99.815,11.6758
100.814,11.6238
101.814,11.5747
102.815,11.5087
103.814,11.4635
104.814,11.4167
105.815,11.3715
106.814,11.3246
107.815,11.2496
108.815,11.2075
109.815,11.1729
110.814,11.1204
111.815,11.0659
112.814,11.0219
113.815,10.9554
114.814,10.9191
115.815,10.8831
116.814,10.8161
117.815,10.807
118.814,10.7271
119.814,10.6998
120.818,10.6502
121.814,10.5883
122.813,10.5517
123.813,10.5006
124.813,10.4211
125.813,10.4014
126.813,10.3485
127.813,10.2994
128.813,10.2619
129.813,10.2187
130.813,10.1732
131.814,10.124
132.814,10.0789
133.813,10.0449
134.814,9.9865
135.814,9.9556
136.815,9.9145
137.814,9.8423
138.814,9.8039
139.814,9.761
140.815,9.7204
141.814,9.6723
142.814,9.6693
143.814,9.608
144.815,9.5691
145.814,9.5442
146.814,9.5007
147.815,9.5008
148.815,9.4171
149.815,9.3608
150.815,9.3274
151.815,9.2569
152.814,9.2219
153.814,9.1653
154.814,9.1322
155.814,9.1074
156.815,9.0624
157.815,9.024
158.814,8.968
159.814,8.9419
160.815,8.883
161.814,8.8585
